id,title,category,score,author
37500001,New AI model beats humans in coding,technology,210,user123
37500002,Global climate summit results announced,worldnews,180,user456
37500003,NBA finals game highlights,sports,150,user789
37500004,NASA discovers new exoplanet,science,200,user321
37500005,Netflix releases new blockbuster movie,entertainment,170,user654
37500006,Open-source software trends in 2026,technology,120,user987
37500007,Government announces new policy reforms,worldnews,95,user741
37500008,FIFA championship final results,sports,140,user852
37500009,Breakthrough in genome research,science,160,user963
37500010,Top streaming shows this week,entertainment,110,user159
